Time Distance Angle
19,08 271,853 0
48,74 363,5766 0
27,64 204,7175 0
49,76 372,4977 0
20,5 152,0024 0
46,38 349,1658 0
12,17999 85,45751 0
44,62 334,4471 0
45,76001 344,9802 0
48,26001 357,2787 0
48,32001 356,1731 0
25,67999 191,9221 0
15,73999 108,4689 0
17 118,33 0
22,14001 154,7408 0
29,52002 221,6393 0
36,09998 265,6848 0
28,90002 215,0222 0
12,5 86,40602 0
12,79999 87,13853 0
26 197,9108 0
64,08002 478,3494 0
50,01996 368,9438 0
44,74005 339,5866 0
45,15997 329,1237 0
34,34003 258,1254 0
31,76001 226,3921 0
50,53998 380,2248 0
43,03998 323,4514 0
55,71997 425,7231 0
41 311,3525 0
50,38 371,9561 0
28,54004 213,4456 0
4,660034 25,6125 0
34,38 253,9057 0
37,02002 277,1499 0
36,52002 276,6583 0
26,77991 196,4931 0
28,41992 213,6509 0
22,64001 155,2376 0
23,46008 165,1501 0
32,02002 233,6082 0
52,53992 396,807 0
48,43994 359,7864 0
40,62 303,5902 0
40,88 310,1039 0
28,23999 212,9186 0
47,18005 349,6009 0
27,88 202,1577 0
33,14001 247,1395 0
30,68005 226,767 0
45,82007 337,1926 0
14,94006 111,1393 0
8,920044 58,94065 0
46,86011 353,9899 0
30,68005 231,4379 0
50,02002 376,9068 0
20,41992 144,3651 0
37,35999 270,5605 0
35,90002 264,3492 0
110,26 391,5093 0
27,41992 200,725 0
56,37988 425,5927 0
13,26001 94,77486 0
50,11987 373,7682 0
47 360,4695 0
44,09985 335,4753 0
72,30005 539,1746 0
28,96021 207,4421 0
137,0801 258,6787 0
35,65991 266,9139 0
24,41992 174,6699 0
22,30005 164,3362 0
22,7998 156,7725 0
38,06006 285,0457 0
7,959961 48,16638 0
35,37988 260,3396 0
17 340,7314 0
46,36 341,1562 0
42,46 314,3058 0
32,74 242,7929 0
52,38 394,7704 0
66,07999 498,509 0
22,74002 162,512 0
22,07999 153,8061 0
50,24002 375,0662 0
41,79999 305,8487 0
34,76001 264,1219 0
50,38 377,9802 0
17,19998 121,04 0
35,66003 270,3225 0
11,71997 83,49873 0
32,73999 244,3037 0
17 340,7314 0
46,36 341,1562 0
42,46 314,3058 0
32,74 242,7929 0
52,38 394,7704 0
66,07999 498,509 0
22,74002 162,512 0
22,07999 153,8061 0
50,24002 375,0662 0
41,79999 305,8487 0
34,76001 264,1219 0
50,38 377,9802 0
17,19998 121,04 0
35,66003 270,3225 0
11,71997 83,49873 0
32,73999 244,3037 0
98,66003 205,1232 0
22,38 167,7581 0
8,5 51,0098 0
35,97998 267,0104 0
40,52002 302,7635 0
41,73999 313,4077 0
19,46002 144,6642 0
51,67999 365,9138 0
47,14001 359,733 0
28,5 212,5857 0
25,71997 198,9649 0
15,72003 113,129 0
30,97992 238,226 0
30,83997 229,1986 0
18,71997 133,0038 0
19,97998 149,8142 0
27,82007 197,6178 0
35,46008 259,2889 0
5,2 312,4194 0
64,75999 482,846 0
5,2 201,792 0
5,2 312,4194 0
5,2 201,792 0
64,8 334,8194 0
65,26 384,1875 0
41,36 213,8463 0
40,96001 189,9947 0
53,99998 311,2619 0
35,32001 189,1137 0
54,20001 339,4113 0
27,56 158,1455 0
66,45999 417,4805 0
16,16 120 0
7,960022 56,56854 0
49,88 345,9624 0
38,89996 271,6027 0
39,42004 275,8623 0
38,09998 270,6818 0
39,29999 232,9378 0
